ORDERNUMBER,CUSTOMERNAME,SALES,DAYS_SINCE_LASTORDER
10287,"Vida Sport, Ltd",3516.48,889
10301,"Norway Gifts By Mail, Co.",7488.04,1219
10310,"Toms Spezialitten, Ltd",3448.08,844
10321,FunGiftIdeas.com,3734.0,826
10331,Motor Mint Distributors Inc.,974.1,814
10342,"Australian Collectors, Co.",3160.74,808
10356,Lyon Souveniers,1746.63,794
10366,Royale Belge,4207.84,763
10377,"Toys of Finland, Co.",4352.76,734
10390,Mini Gifts Distributors Ltd.,1463.7,711
10406,Danish Wholesale Imports,7169.28,670
10419,Salzburg Collectables,4594.76,639
10104,Euro Shopping Channel,3457.92,1477
10115,Classic Legends Inc.,7381.16,1415
10127,Muscle Machine Inc,7146.9,1356
10141,Suominen Souveniers,5938.53,1298
10151,"Oulu Toy Supplies, Inc.",7110.91,1248
10165,"Dragon Souveniers, Ltd.",5032.95,1218
10176,L'ordine Souveniers,3667.6,1204
10184,"Iberia Gift Imports, Corp.",7381.16,1197
10195,Mini Classics,5128.11,1187
10207,Diecast Collectables,7060.24,1174
10219,Signal Collectibles Ltd.,8448.64,1112
10230,"Blauer See Auto, Co.",7300.51,1080
10246,Euro Shopping Channel,6549.2,1030
10259,Handji Gifts& Co,5697.9,990
10271,Mini Gifts Distributors Ltd.,9169.0,956
10282,Mini Gifts Distributors Ltd.,3238.63,926
10292,Land of Toys Inc.,4554.94,908
10305,Marta's Replicas Co.,3934.44,874
10314,Heintze Collectables,5776.26,866
10324,Vitachrome Inc.,7207.45,853
10336,"La Corne D'abondance, Co.",7460.74,839
10349,Muscle Machine Inc,6719.54,829
10358,Euro Shopping Channel,2428.0,821
10371,Mini Gifts Distributors Ltd.,2602.25,778
10382,Mini Gifts Distributors Ltd.,2200.0,754
10412,Euro Shopping Channel,6712.93,679
10425,La Rochelle Gifts,5318.04,652
10100,Online Diecast Creations Co.,3390.0,1529
10110,"AV Stores, Co.",1608.0,1459
10124,Signal Gift Stores,2262.96,1396
10149,Signal Collectibles Ltd.,1496.64,1283
10173,Rovelli Gifts,1495.26,1230
10182,Mini Gifts Distributors Ltd.,2323.7,1224
10193,"Australian Collectables, Ltd",2491.86,1216
10204,Muscle Machine Inc,1643.12,1206
10214,"Corrida Auto Replicas, Ltd",1322.16,1152
10227,"Saveley & Henriot, Co.",1423.8,1118
10241,Mini Caravy,2397.45,1077
10280,Amica Models & Co.,1574.0,952
10288,Handji Gifts& Co,1729.0,938
10303,"Iberia Gift Imports, Corp.",2255.84,904
10312,Mini Gifts Distributors Ltd.,1834.5,890
10332,"AV Stores, Co.",3201.5,864
10344,Marseille Mini Autos,2276.4,857
10367,Toys4GrownUps.com,8884.8,810
10379,Euro Shopping Channel,1331.1,782
10407,The Sharp Gifts Warehouse,3051.3,711
10420,Souveniers And Things Co.,2288.52,675
10104,Euro Shopping Channel,3772.61,1525
10114,"La Corne D'abondance, Co.",4164.42,1466
10127,Muscle Machine Inc,6295.95,1404
10141,Suominen Souveniers,6287.66,1346
10151,"Oulu Toy Supplies, Inc.",5412.54,1296
10165,"Dragon Souveniers, Ltd.",5984.14,1266
10175,"Stylish Desk Decors, Co.",5891.04,1252
10184,"Iberia Gift Imports, Corp.",5984.14,1245
10195,Mini Classics,3608.15,1235
10207,Diecast Collectables,5752.54,1222
10229,Mini Gifts Distributors Ltd.,3765.32,1131
10246,Euro Shopping Channel,2159.96,1077
10259,Handji Gifts& Co,3379.94,1037
10271,Mini Gifts Distributors Ltd.,5093.5,1003
10281,Diecast Classics Inc.,5773.44,974
10292,Land of Toys Inc.,4528.86,955
10305,Marta's Replicas Co.,4816.08,921
10313,Canadian Gift Exchange Network,3416.78,913
10324,Vitachrome Inc.,1236.84,900
10334,"Volvo Model Replicas, Co",5814.86,887
10349,Muscle Machine Inc,5223.48,876
10358,Euro Shopping Channel,728.4,868
10370,"Anna's Decorations, Ltd",3949.0,828
10383,Euro Shopping Channel,3843.99,796
10412,Euro Shopping Channel,5498.08,726
10425,La Rochelle Gifts,3777.58,699
10101,"Blauer See Auto, Co.",3782.0,1573
10110,"AV Stores, Co.",3859.68,1506
10124,Signal Gift Stores,4431.84,1443
10149,Signal Collectibles Ltd.,4950.33,1330
10173,Rovelli Gifts,4492.83,1277
10182,Mini Gifts Distributors Ltd.,2212.0,1271
10193,"Australian Collectables, Ltd",4642.88,1263
10204,Muscle Machine Inc,3206.32,1253
10214,"Corrida Auto Replicas, Ltd",3604.23,1199
10227,"Saveley & Henriot, Co.",7017.76,1165
10243,Diecast Collectables,6154.18,1111
10280,Amica Models & Co.,4750.8,999
10288,Handji Gifts& Co,3822.92,985
10304,Auto Assoc. & Cie.,2440.8,946
10312,Mini Gifts Distributors Ltd.,4729.36,937
10322,Online Diecast Creations Co.,12536.5,924
10332,"AV Stores, Co.",2264.15,912
10344,Marseille Mini Autos,3928.2,905
10356,Lyon Souveniers,3630.22,892
10367,Toys4GrownUps.com,4196.07,859
10380,Euro Shopping Channel,4931.6,825
10390,Mini Gifts Distributors Ltd.,3068.69,809
10409,Handji Gifts& Co,785.64,760
10420,Souveniers And Things Co.,4977.0,725
10103,Baane Mini Imports,1189.98,1577
10114,"La Corne D'abondance, Co.",3090.15,1516
10126,"Corrida Auto Replicas, Ltd",2795.86,1460
10140,Technics Stores Inc.,2851.54,1404
10151,"Oulu Toy Supplies, Inc.",2701.92,1346
10165,"Dragon Souveniers, Ltd.",2204.1,1316
10175,"Stylish Desk Decors, Co.",2840.48,1302
10184,"Iberia Gift Imports, Corp.",2647.04,1295
10194,"Saveley & Henriot, Co.",3172.05,1285
10207,Diecast Collectables,2585.93,1272
10217,Handji Gifts& Co,2148.3,1216
10229,Mini Gifts Distributors Ltd.,1667.4,1182
10246,Euro Shopping Channel,1859.7,1128
10259,Handji Gifts& Co,1476.6,1088
10271,Mini Gifts Distributors Ltd.,1732.0,1054
10281,Diecast Classics Inc.,1674.17,1025
10291,Scandinavian Gift Ideas,1500.98,1006
10305,Marta's Replicas Co.,2192.68,972
10313,Canadian Gift Exchange Network,1797.58,964
10322,Online Diecast Creations Co.,2142.35,952
10334,"Volvo Model Replicas, Co",2086.92,938
10347,"Australian Collectors, Co.",6834.5,929
10357,Mini Gifts Distributors Ltd.,2541.59,919
10370,"Anna's Decorations, Ltd",2130.92,879
10391,"Anna's Decorations, Ltd",1694.0,831
10412,Euro Shopping Channel,2913.53,777
10425,La Rochelle Gifts,935.18,750
10106,Rovelli Gifts,3073.26,1585
10120,"Australian Collectors, Co.",2082.49,1515
10133,Euro Shopping Channel,3394.23,1457
10145,Toys4GrownUps.com,2559.6,1399
10168,Technics Stores Inc.,1490.16,1336
10210,Osaka Souveniers Co.,3844.0,1261
10223,"Australian Collectors, Co.",4724.91,1223
10235,"Royal Canadian Collectables, Ltd.",1824.72,1183
10250,The Sharp Gifts Warehouse,2668.68,1145
10263,Gift Depot Inc.,2843.61,1098
10275,La Rochelle Gifts,3163.65,1074
10284,"Norway Gifts By Mail, Co.",2226.11,1046
10297,"Clover Collections, Co.",2069.75,1021
10308,Mini Classics,2235.33,993
10318,Diecast Classics Inc.,3116.43,976
10327,Danish Wholesale Imports,4781.7,969
10339,"Tokyo Collectables, Ltd",2810.7,957
10353,Gift Ideas Corp.,3515.67,947
10374,"Australian Gift Network, Co",2909.34,888
10386,Euro Shopping Channel,1570.17,861
10398,Reims Collectables,2613.92,833
10401,Tekni Collectables Inc.,3193.26,830
10416,L'ordine Souveniers,1482.6,794
10107,Land of Toys Inc.,2055.23,1601
10120,"Australian Collectors, Co.",2674.9,1538
10134,Lyon Souveniers,1853.4,1476
10145,Toys4GrownUps.com,1490.1,1422
10168,Technics Stores Inc.,2814.28,1359
10180,Daedalus Designs Imports,1605.0,1346
10188,Herkku Gifts,2093.44,1340
10210,Osaka Souveniers Co.,1986.8,1286
10223,"Australian Collectors, Co.",1695.96,1248
10236,Motor Mint Distributors Inc.,1281.56,1207
10251,Tekni Collectables Inc.,1774.22,1163
10263,Gift Depot Inc.,1997.5,1123
10275,La Rochelle Gifts,2353.2,1099
10285,Marta's Replicas Co.,981.2,1065
10298,Atelier graphique,1550.72,1035
10308,Mini Classics,1771.06,1018
10318,Diecast Classics Inc.,2213.4,1001
10329,Land of Toys Inc.,5266.04,989
10339,"Tokyo Collectables, Ltd",1864.8,982
10362,Technics Stores Inc.,1142.41,940
10374,"Australian Gift Network, Co",1172.6,913
10389,Scandinavian Gift Ideas,6981.0,884
10402,Auto Canal Petit,3064.6,850
10417,Euro Shopping Channel,2202.48,815
10101,"Blauer See Auto, Co.",3773.38,1671
10110,"AV Stores, Co.",5074.39,1604
10125,"Australian Collectors, Co.",6483.46,1541
10139,Souveniers And Things Co.,7956.46,1486
10149,Signal Collectibles Ltd.,4230.62,1429
10173,Rovelli Gifts,3452.68,1376
10182,Mini Gifts Distributors Ltd.,3047.73,1370
10193,"Australian Collectables, Ltd",3675.32,1362
10205,Euro Shopping Channel,7492.4,1351
10214,"Corrida Auto Replicas, Ltd",9534.5,1298
10227,"Saveley & Henriot, Co.",5579.02,1264
10244,Euro Shopping Channel,5950.34,1207
10255,Mini Caravy,3726.0,1172
10280,Amica Models & Co.,4455.0,1099
10289,Herkku Gifts,8272.34,1083
10304,Auto Assoc. & Cie.,3577.6,1046
10312,Mini Gifts Distributors Ltd.,3881.25,1037
10322,Online Diecast Creations Co.,5797.44,1024
10332,"AV Stores, Co.",1264.08,1012
10347,"Australian Collectors, Co.",4815.3,1001
10356,Lyon Souveniers,4462.2,992
10367,Toys4GrownUps.com,3033.28,959
10380,Euro Shopping Channel,990.78,925
10390,Mini Gifts Distributors Ltd.,2030.86,909
10421,Mini Gifts Distributors Ltd.,5433.75,824
10109,Motor Mint Distributors Inc.,3157.44,1636
10123,Atelier graphique,5161.2,1566
10137,Reims Collectables,4346.76,1516
10148,"Anna's Decorations, Ltd",3528.36,1454
10161,Heintze Collectables,3187.8,1419
10172,Gift Depot Inc.,6023.16,1401
10181,Herkku Gifts,3884.76,1395
10192,Online Diecast Creations Co.,4965.84,1388
10204,Muscle Machine Inc,4169.88,1377
10212,Euro Shopping Channel,4910.4,1333
10226,Collectable Mini Designs Co.,3231.36,1293
10241,Mini Caravy,6853.44,1248
10253,"UK Collectables, Ltd.",5177.04,1200
10266,L'ordine Souveniers,2824.8,1166
10278,Signal Gift Stores,4324.32,1136
10287,"Vida Sport, Ltd",5052.96,1113
10301,"Norway Gifts By Mail, Co.",3223.44,1443
10311,Euro Shopping Channel,5278.68,1068
10321,FunGiftIdeas.com,2851.2,1050
10331,Motor Mint Distributors Inc.,1687.4,1038
10343,Reims Collectables,1308.0,1032
10366,Royale Belge,6144.6,986
10379,Euro Shopping Channel,5127.2,956
10407,The Sharp Gifts Warehouse,6386.16,885
10419,Salzburg Collectables,7695.6,861
10103,Baane Mini Imports,2242.89,1701
10112,"Volvo Model Replicas, Co",2539.89,1648
10126,"Corrida Auto Replicas, Ltd",2795.27,1584
10139,Souveniers And Things Co.,5545.76,1536
10150,"Dragon Souveniers, Ltd.",4285.46,1472
10163,Classic Legends Inc.,3329.09,1442
10174,"Australian Gift Network, Co",5592.22,1426
10183,"Classic Gift Ideas, Inc",3298.55,1420
10193,"Australian Collectables, Ltd",2609.88,1413
10206,Canadian Gift Exchange Network,3336.29,1400
10215,West Coast Collectables Co.,5510.05,1346
10228,Cambridge Collectables Co.,2504.4,1307
10244,Euro Shopping Channel,3525.6,1258
10257,The Sharp Gifts Warehouse,4407.0,1213
10270,Souveniers And Things Co.,2983.44,1179
10280,Amica Models & Co.,5126.24,1151
10291,Scandinavian Gift Ideas,5713.79,1130
10304,Auto Assoc. & Cie.,4613.8,1098
10312,Mini Gifts Distributors Ltd.,3711.1,1089
10322,Online Diecast Creations Co.,3524.73,1076
10347,"Australian Collectors, Co.",4814.4,1052
10357,Mini Gifts Distributors Ltd.,3572.33,1042
10369,Collectables For Less Inc.,4581.36,1002
10391,"Anna's Decorations, Ltd",1448.0,954
10423,Petit Auto,881.4,873
10103,Baane Mini Imports,2011.1,1726
10126,"Corrida Auto Replicas, Ltd",3390.2,1608
10139,Souveniers And Things Co.,1424.0,1560
10150,"Dragon Souveniers, Ltd.",1499.1,1496
10163,Classic Legends Inc.,3358.08,1466
10173,Rovelli Gifts,1504.16,1451
10183,"Classic Gift Ideas, Inc",2655.12,1444
10193,"Australian Collectables, Ltd",1244.16,1437
10206,Canadian Gift Exchange Network,1888.88,1424
10215,West Coast Collectables Co.,1820.01,1370
10228,Cambridge Collectables Co.,2866.95,1331
10244,Euro Shopping Channel,1394.16,1282
10257,The Sharp Gifts Warehouse,2632.28,1237
10269,Salzburg Collectables,2018.56,1206
10280,Amica Models & Co.,2954.53,1175
10291,Scandinavian Gift Ideas,1871.83,1154
10304,Auto Assoc. & Cie.,1559.04,1122
10312,Mini Gifts Distributors Ltd.,1880.2,1113
10322,Online Diecast Creations Co.,1224.67,1100
10332,"AV Stores, Co.",2979.08,1088
10347,"Australian Collectors, Co.",2208.64,1077
10357,Mini Gifts Distributors Ltd.,3458.42,1067
10369,Collectables For Less Inc.,1237.88,1027
10392,Mini Auto Werke,2218.52,978
10423,Petit Auto,1665.32,898
10106,Rovelli Gifts,3421.04,1732
10119,Salzburg Collectables,1878.66,1663
10130,Auto-Moto Classics Inc.,3853.6,1615
10143,Mini Creations Ltd.,3442.64,1561
10155,"Toys of Finland, Co.",3482.16,1505
10167,Scandinavian Gift Ideas,3363.52,1489
10178,Alpha Cognac,3350.52,1474
10186,"Double Decker Gift Stores, Ltd",2862.72,1469
10197,Enaco Distributors,4036.04,1458
10222,Collectable Mini Designs Co.,4636.38,1374
10248,Land of Toys Inc.,1553.58,1298
10262,Euro Shopping Channel,2697.6,1251
10273,Petit Auto,3334.04,1225
10283,"Royal Canadian Collectables, Ltd.",2059.26,1196
10296,"Bavarian Collectables Imports, Co.",2023.14,1171
10307,"Classic Gift Ideas, Inc",2586.64,1143
10316,giftsbymail.co.uk,1987.02,1126
10327,Danish Wholesale Imports,1146.5,1118
10338,Royale Belge,2312.24,1107
10350,Euro Shopping Channel,2793.71,1098
10373,"Oulu Toy Supplies, Inc.",1908.28,1039
10386,Euro Shopping Channel,3441.37,1010
10398,Reims Collectables,2023.28,982
10400,The Sharp Gifts Warehouse,2245.2,981
10414,Gifts4AllAges.com,3255.12,947
10103,Baane Mini Imports,2539.5,1776
10126,"Corrida Auto Replicas, Ltd",2921.7,1658
10139,Souveniers And Things Co.,1801.2,1610
10150,"Dragon Souveniers, Ltd.",2804.36,1546
10163,Classic Legends Inc.,4900.8,1516
10173,Rovelli Gifts,2759.31,1501
10183,"Classic Gift Ideas, Inc",2488.2,1494
10193,"Australian Collectables, Ltd",2769.89,1487
10206,Canadian Gift Exchange Network,3581.4,1474
10215,West Coast Collectables Co.,5285.14,1420
10228,Cambridge Collectables Co.,3181.53,1381
10244,Euro Shopping Channel,3340.51,1332
10257,The Sharp Gifts Warehouse,3138.34,1287
10270,Souveniers And Things Co.,4775.08,1253
10280,Amica Models & Co.,3006.43,1225
10291,Scandinavian Gift Ideas,2866.26,1204
10304,Auto Assoc. & Cie.,2232.62,1172
10312,Mini Gifts Distributors Ltd.,4457.02,1163
10322,Online Diecast Creations Co.,2257.92,1150
10332,"AV Stores, Co.",1592.0,1138
10347,"Australian Collectors, Co.",4948.2,1127
10357,Mini Gifts Distributors Ltd.,5160.76,1117
10369,Collectables For Less Inc.,1978.62,1077
10392,Mini Auto Werke,2520.68,1028
10423,Petit Auto,1781.22,948
10105,Danish Wholesale Imports,3065.04,1788
10117,"Dragon Souveniers, Ltd.",3551.34,1725
10128,Euro Shopping Channel,5544.02,1675
10142,Mini Gifts Distributors Ltd.,6034.33,1613
10153,Euro Shopping Channel,3641.57,1563
10166,FunGiftIdeas.com,6930.74,1541
10177,CAF Imports,3675.63,1525
10185,Mini Creations Ltd.,3442.04,1519
10196,Super Scale Inc.,6893.81,1508
10208,"Saveley & Henriot, Co.",2622.48,1472
10221,Petit Auto,4417.38,1426
10232,giftsbymail.co.uk,3606.02,1397
10248,Land of Toys Inc.,3802.56,1350
10273,Petit Auto,5026.4,1276
10282,Mini Gifts Distributors Ltd.,6695.53,1247
10293,Amica Models & Co.,2819.28,1228
10306,"AV Stores, Co.",3759.04,1194
10314,Heintze Collectables,2731.8,1187
10325,Baane Mini Imports,1658.88,1174
10336,"La Corne D'abondance, Co.",5778.24,1160
10350,Euro Shopping Channel,5191.12,1149
10372,"Tokyo Collectables, Ltd",3862.88,1095
10383,Euro Shopping Channel,1476.48,1069
10396,Mini Gifts Distributors Ltd.,5273.73,1040
10414,Gifts4AllAges.com,4872.03,997
10104,Euro Shopping Channel,4556.99,1824
10109,Motor Mint Distributors Inc.,8257.0,1787
10114,"La Corne D'abondance, Co.",8209.44,1766
10122,Marseille Mini Autos,3598.5,1730
10127,Muscle Machine Inc,3837.24,1705
10136,Alpha Cognac,8331.61,1675
10141,Suominen Souveniers,4836.5,1648
10148,"Anna's Decorations, Ltd",5418.88,1608
10151,"Oulu Toy Supplies, Inc.",3734.01,1599
10165,"Dragon Souveniers, Ltd.",8754.69,1569
10171,Quebec Home Shopping Network,5481.45,1556
10175,"Stylish Desk Decors, Co.",4419.89,1556
10181,Herkku Gifts,6324.75,1551
10184,"Iberia Gift Imports, Corp.",4409.72,1550
10192,Online Diecast Creations Co.,3918.46,1545
10195,Mini Classics,7620.5,1541
10203,Euro Shopping Channel,8291.04,1535
10207,Diecast Collectables,3937.25,1529
10212,Euro Shopping Channel,5554.4,1492
10225,"Vida Sport, Ltd",6407.86,1456
10229,Mini Gifts Distributors Ltd.,4172.52,1440
10239,"Oulu Toy Supplies, Inc.",7083.37,1409
10246,Euro Shopping Channel,7132.68,1387
10253,"UK Collectables, Ltd.",6773.6,1361
10259,Handji Gifts& Co,3657.69,1348
10266,L'ordine Souveniers,4812.55,1328
10271,Mini Gifts Distributors Ltd.,3928.6,1315
10278,Signal Gift Stores,6401.22,1299
10281,Diecast Classics Inc.,4191.25,1287
10287,"Vida Sport, Ltd",5852.52,1277
10292,Land of Toys Inc.,2844.87,1269
10301,"Norway Gifts By Mail, Co.",4011.66,1608
10305,Marta's Replicas Co.,7455.87,1236
10310,"Toms Spezialitten, Ltd",8940.96,1234
10313,Canadian Gift Exchange Network,4572.25,1229
10321,FunGiftIdeas.com,5700.09,1217
10324,Vitachrome Inc.,3155.49,1217
10331,Motor Mint Distributors Inc.,4170.69,1206
10334,"Volvo Model Replicas, Co",2878.8,1205
10342,"Australian Collectors, Co.",5029.5,1201
10349,Muscle Machine Inc,7396.8,1195
10358,Euro Shopping Channel,2991.68,1187
10366,Royale Belge,6275.72,1157
10370,"Anna's Decorations, Ltd",1534.95,1148
10377,"Toys of Finland, Co.",7264.53,1129
10383,Euro Shopping Channel,6869.05,1117
10394,Euro Shopping Channel,3353.02,1096
10405,Mini Caravy,8289.05,1067
10412,Euro Shopping Channel,11887.8,1049
10419,Salzburg Collectables,5926.9,1036
10425,La Rochelle Gifts,3793.16,1023
10105,Danish Wholesale Imports,4330.1,1864
10117,"Dragon Souveniers, Ltd.",2011.8,1801
10128,Euro Shopping Channel,4837.18,1751
10142,Mini Gifts Distributors Ltd.,2151.82,1689
10153,Euro Shopping Channel,2573.46,1639
10165,"Dragon Souveniers, Ltd.",5344.5,1616
10177,CAF Imports,3070.52,1601
10185,Mini Creations Ltd.,3952.83,1595
10196,Super Scale Inc.,3564.75,1584
10208,"Saveley & Henriot, Co.",5614.56,1548
10221,Petit Auto,1855.41,1502
10232,giftsbymail.co.uk,4598.4,1473
10248,Land of Toys Inc.,5082.42,1426
10273,Petit Auto,5450.59,1352
10282,Mini Gifts Distributors Ltd.,4174.92,1323
10293,Amica Models & Co.,2418.24,1304
10306,"AV Stores, Co.",3670.4,1270
10314,Heintze Collectables,2481.7,1263
10326,"Volvo Model Replicas, Co",3807.68,1246
10336,"La Corne D'abondance, Co.",2230.41,1236
10350,Euro Shopping Channel,3814.64,1225
10372,"Tokyo Collectables, Ltd",2117.75,1171
10383,Euro Shopping Channel,3340.48,1145
10396,Mini Gifts Distributors Ltd.,2154.0,1116
10414,Gifts4AllAges.com,5808.48,1073
10108,Cruz & Sons Co.,1777.1,1869
10122,Marseille Mini Autos,1536.57,1804
10135,Mini Gifts Distributors Ltd.,3510.0,1750
10147,Collectables For Less Inc.,3097.44,1686
10169,"Anna's Decorations, Ltd",2264.32,1627
10181,Herkku Gifts,2484.6,1620
10191,"Toms Spezialitten, Ltd",3415.68,1613
10203,Euro Shopping Channel,2839.32,1602
10211,Auto Canal Petit,2730.0,1559
10225,"Vida Sport, Ltd",3540.53,1522
10238,Danish Wholesale Imports,2999.97,1477
10252,Auto Canal Petit,1527.8,1431
10265,"Australian Collectables, Ltd",3907.8,1395
10276,Online Mini Collectables,2658.48,1365
10287,"Vida Sport, Ltd",3042.68,1338
10300,"Blauer See Auto, Co.",3861.2,1669
10310,"Toms Spezialitten, Ltd",2171.07,1293
10319,Microscale Inc.,3403.08,1276
10329,Land of Toys Inc.,2245.8,1265
10342,"Australian Collectors, Co.",1668.5,1257
10363,Suominen Souveniers,2773.8,1215
10378,Euro Shopping Channel,2464.0,1181
10390,Mini Gifts Distributors Ltd.,5491.6,1159
10103,Baane Mini Imports,4791.82,1925
10126,"Corrida Auto Replicas, Ltd",3128.92,1807
10139,Souveniers And Things Co.,3095.4,1759
10149,Signal Collectibles Ltd.,3958.5,1702
10163,Classic Legends Inc.,4991.44,1665
10173,Rovelli Gifts,2761.96,1650
10182,Mini Gifts Distributors Ltd.,2848.23,1644
10193,"Australian Collectables, Ltd",2539.84,1636
10206,Canadian Gift Exchange Network,2444.4,1623
10215,West Coast Collectables Co.,4555.92,1569
10227,"Saveley & Henriot, Co.",3666.96,1538
10244,Euro Shopping Channel,3035.88,1481
10257,The Sharp Gifts Warehouse,2321.54,1436
10280,Amica Models & Co.,3474.46,1373
10290,Auto-Moto Classics Inc.,2501.98,1353
10304,Auto Assoc. & Cie.,3958.46,1320
10312,Mini Gifts Distributors Ltd.,3535.95,1311
10323,"Blauer See Auto, Co.",3011.91,1297
10347,"Australian Collectors, Co.",2656.94,1274
10357,Mini Gifts Distributors Ltd.,2604.25,1264
10369,Collectables For Less Inc.,3288.6,1224
10382,Mini Gifts Distributors Ltd.,8935.5,1197
10392,Mini Auto Werke,4035.96,1176
10423,Petit Auto,1875.09,1096
10108,Cruz & Sons Co.,4049.56,1916
10122,Marseille Mini Autos,2469.39,1851
10135,Mini Gifts Distributors Ltd.,5432.7,1797
10147,Collectables For Less Inc.,4405.22,1733
10169,"Anna's Decorations, Ltd",4444.92,1674
10181,Herkku Gifts,3395.48,1667
10191,"Toms Spezialitten, Ltd",3414.58,1660
10203,Euro Shopping Channel,5127.04,1649
10211,Auto Canal Petit,3745.28,1606
10225,"Vida Sport, Ltd",4564.08,1569
10238,Danish Wholesale Imports,6554.24,1524
10252,Auto Canal Petit,6749.83,1478
10265,"Australian Collectables, Ltd",8427.02,1442
10276,Online Mini Collectables,3924.6,1412
10287,"Vida Sport, Ltd",6761.6,1385
10300,"Blauer See Auto, Co.",3786.49,1716
10310,"Toms Spezialitten, Ltd",6266.12,1340
10320,"Volvo Model Replicas, Co",3491.0,1323
10330,Cruz & Sons Co.,4405.22,1311
10342,"Australian Collectors, Co.",6548.3,1304
10355,Euro Shopping Channel,3177.91,1292
10363,Suominen Souveniers,4142.64,1263
10378,Euro Shopping Channel,4149.07,1229
10390,Mini Gifts Distributors Ltd.,7397.0,1207
10109,Motor Mint Distributors Inc.,6241.6,1933
10123,Atelier graphique,5331.88,1863
10137,Reims Collectables,5124.3,1813
10148,"Anna's Decorations, Ltd",3639.44,1751
10161,Heintze Collectables,5544.0,1716
10172,Gift Depot Inc.,5493.12,1698
10181,Herkku Gifts,5785.26,1692
10192,Online Diecast Creations Co.,5340.6,1685
10204,Muscle Machine Inc,5735.8,1674
10212,Euro Shopping Channel,6357.6,1630
10226,Collectable Mini Designs Co.,7343.9,1590
10240,Osaka Souveniers Co.,5959.22,1545
10253,"UK Collectables, Ltd.",4029.38,1497
10266,L'ordine Souveniers,5035.14,1463
10278,Signal Gift Stores,4116.8,1433
10287,"Vida Sport, Ltd",4310.55,1410
10301,"Norway Gifts By Mail, Co.",6446.7,1740
10311,Euro Shopping Channel,3616.64,1365
10321,FunGiftIdeas.com,4232.76,1347
10331,Motor Mint Distributors Inc.,1765.66,1335
10343,Reims Collectables,3734.72,1329
10367,Toys4GrownUps.com,4808.38,1281
10379,Euro Shopping Channel,2266.56,1253
10406,Danish Wholesale Imports,10468.9,1189
10419,Salzburg Collectables,5589.14,1158
10108,Cruz & Sons Co.,2914.11,1965
10122,Marseille Mini Autos,1740.9,1900
10135,Mini Gifts Distributors Ltd.,2266.2,1846
10146,Gift Ideas Corp.,3155.58,1784
10169,"Anna's Decorations, Ltd",2598.82,1723
10180,Daedalus Designs Imports,1057.56,1717
10191,"Toms Spezialitten, Ltd",3127.82,1709
10211,Auto Canal Petit,2488.14,1654
10224,Daedalus Designs Imports,2220.72,1618
10237,Vitachrome Inc.,1357.72,1576
10252,Auto Canal Petit,1638.04,1526
10264,Gifts4AllAges.com,2626.08,1492
10276,Online Mini Collectables,1661.88,1460
10286,"La Corne D'abondance, Co.",2173.6,1435
10299,"Toys of Finland, Co.",2182.05,1403
10310,"Toms Spezialitten, Ltd",2819.88,1388
10319,Microscale Inc.,2598.64,1371
10330,Cruz & Sons Co.,2019.27,1359
10342,"Australian Collectors, Co.",1454.7,1352
10355,Euro Shopping Channel,1657.57,1340
10363,Suominen Souveniers,2851.84,1311
10378,Euro Shopping Channel,4609.64,1277
10390,Mini Gifts Distributors Ltd.,5079.96,1255
10403,"UK Collectables, Ltd.",1879.92,1221
10106,Rovelli Gifts,4774.86,2003
10119,Salzburg Collectables,2687.04,1934
10130,Auto-Moto Classics Inc.,3423.75,1886
10143,Mini Creations Ltd.,3455.76,1832
10155,"Toys of Finland, Co.",3622.97,1776
10167,Scandinavian Gift Ideas,3599.58,1760
10178,Alpha Cognac,5386.56,1745
10186,"Double Decker Gift Stores, Ltd",4918.78,1740
10197,Enaco Distributors,2538.8,1729
10222,Collectable Mini Designs Co.,3858.75,1645
10249,Cambridge Collectables Co.,5600.5,1568
10262,Euro Shopping Channel,4103.46,1522
10273,Petit Auto,4287.5,1496
10283,"Royal Canadian Collectables, Ltd.",5795.54,1467
10296,"Bavarian Collectables Imports, Co.",1863.4,1442
10307,"Classic Gift Ideas, Inc",4166.88,1414
10316,giftsbymail.co.uk,4080.07,1397
10328,Rovelli Gifts,3815.48,1387
10338,Royale Belge,5526.45,1378
10351,"Stylish Desk Decors, Co.",3374.6,1368
10373,"Oulu Toy Supplies, Inc.",3024.5,1310
10386,Euro Shopping Channel,1266.1,1281
10398,Reims Collectables,4811.85,1253
10400,The Sharp Gifts Warehouse,7307.42,1252
10415,"Australian Collectables, Ltd",6209.25,1215
10104,Euro Shopping Channel,5348.5,2045
10117,"Dragon Souveniers, Ltd.",2780.58,1971
10127,Muscle Machine Inc,3447.0,1924
10142,Mini Gifts Distributors Ltd.,3791.52,1859
10152,"Australian Gift Network, Co",4524.1,1812
10165,"Dragon Souveniers, Ltd.",3337.6,1786
10176,L'ordine Souveniers,5532.12,1772
10185,Mini Creations Ltd.,5096.91,1765
10196,Super Scale Inc.,4537.08,1754
10207,Diecast Collectables,6146.8,1742
10220,"Clover Collections, Co.",8258.0,1678
10230,"Blauer See Auto, Co.",7238.28,1648
10247,Suominen Souveniers,6756.0,1598
10272,Diecast Classics Inc.,3734.0,1523
10282,Mini Gifts Distributors Ltd.,4674.8,1493
10292,Land of Toys Inc.,7140.76,1475
